type,dim,n,k,time
kdtree,7,5000,30,241985
kdtree,1,6000,30,828485
kdtree,2,6000,30,112775
kdtree,3,6000,30,74177
kdtree,4,6000,30,76633
kdtree,5,6000,30,98487
kdtree,6,6000,30,149381
kdtree,7,6000,30,290182
kdtree,1,7000,30,1253495
kdtree,2,7000,30,161664
kdtree,3,7000,30,80932
kdtree,4,7000,30,110961
kdtree,5,7000,30,143797
kdtree,6,7000,30,184062
kdtree,7,7000,30,284765
kdtree,1,8000,30,1201364
kdtree,2,8000,30,141474
kdtree,3,8000,30,88156
kdtree,4,8000,30,96765
kdtree,5,8000,30,120164
kdtree,6,8000,30,225157
kdtree,7,8000,30,263553
kdtree,1,9000,30,1612693
kdtree,2,9000,30,171121
kdtree,3,9000,30,93086
kdtree,4,9000,30,97093
kdtree,5,9000,30,131192
kdtree,6,9000,30,187306
kdtree,7,9000,30,272990
kdtree,1,10000,30,1442254
kdtree,2,10000,30,154328
kdtree,3,10000,30,85222
kdtree,4,10000,30,90244
kdtree,5,10000,30,118329
kdtree,6,10000,30,188335
kdtree,7,10000,30,261469
kdtree,1,1000,40,141278
kdtree,2,1000,40,49034
kdtree,3,1000,40,40801
kdtree,4,1000,40,61518
kdtree,5,1000,40,75702
kdtree,6,1000,40,99511
kdtree,7,1000,40,152474
kdtree,1,2000,40,428307
kdtree,2,2000,40,106579
kdtree,3,2000,40,58408
kdtree,4,2000,40,112924
kdtree,5,2000,40,108974
kdtree,6,2000,40,122125
kdtree,7,2000,40,181006
kdtree,1,3000,40,430855
kdtree,2,3000,40,90967
kdtree,3,3000,40,64183
kdtree,4,3000,40,70781
kdtree,5,3000,40,91879
kdtree,6,3000,40,129303
kdtree,7,3000,40,185520
kdtree,1,4000,40,571127
kdtree,2,4000,40,106682
kdtree,3,4000,40,70443
kdtree,4,4000,40,79829
kdtree,5,4000,40,99925
kdtree,6,4000,40,144367
kdtree,7,4000,40,214630
kdtree,1,5000,40,686095
kdtree,2,5000,40,119510
kdtree,3,5000,40,76242
kdtree,4,5000,40,79929
kdtree,5,5000,40,104899
kdtree,6,5000,40,149107
kdtree,7,5000,40,217397
kdtree,1,6000,40,773769
kdtree,2,6000,40,117603
kdtree,3,6000,40,76267
kdtree,4,6000,40,83160
kdtree,5,6000,40,106565
