Test, Size, Time
Random Pivot - Worst Case,3950100,840651171
End Pivot - Worst Case,3950100,218494286
Mergesort - Best Case,3950100,859684190
Mergesort - Average Case,3950100,737514818
Mergesort - Worst Case,3950100,699055836
Middle Pivot - Worst Case,4000100,182867110
Random Pivot - Worst Case,4000100,809425990
End Pivot - Worst Case,4000100,205960594
Mergesort - Best Case,4000100,839508069
Mergesort - Average Case,4000100,769876436
Mergesort - Worst Case,4000100,729958436
Middle Pivot - Worst Case,4050100,187630357
Random Pivot - Worst Case,4050100,863486016
End Pivot - Worst Case,4050100,224501150
Mergesort - Best Case,4050100,890794647
Mergesort - Average Case,4050100,790281326
Mergesort - Worst Case,4050100,720661185
Middle Pivot - Worst Case,4100100,194317897
Random Pivot - Worst Case,4100100,862252270
End Pivot - Worst Case,4100100,214284808
Mergesort - Best Case,4100100,850421253
Mergesort - Average Case,4100100,756005128
Mergesort - Worst Case,4100100,721770118
Middle Pivot - Worst Case,4150100,187645894
Random Pivot - Worst Case,4150100,836651405
End Pivot - Worst Case,4150100,209694973
Mergesort - Best Case,4150100,886443570
Mergesort - Average Case,4150100,765039902
Mergesort - Worst Case,4150100,756636653
Middle Pivot - Worst Case,4200100,190753020
Random Pivot - Worst Case,4200100,867214441
End Pivot - Worst Case,4200100,240393623
Mergesort - Best Case,4200100,933074520
Mergesort - Average Case,4200100,828201091
Mergesort - Worst Case,4200100,757077875
Middle Pivot - Worst Case,4250100,195477980
Random Pivot - Worst Case,4250100,881889010
End Pivot - Worst Case,4250100,228972399
Mergesort - Best Case,4250100,986597779
Mergesort - Average Case,4250100,799956915
Mergesort - Worst Case,4250100,749210765
Middle Pivot - Worst Case,4300100,196424296
Random Pivot - Worst Case,4300100,865080196
End Pivot - Worst Case,4300100,220719575
Mergesort - Best Case,4300100,968454648
Mergesort - Average Case,4300100,837371315
Mergesort - Worst Case,4300100,786836242
Middle Pivot - Worst Case,4350100,203618090
Random Pivot - Worst Case,4350100,896638273
End Pivot - Worst Case,4350100,223647102
Mergesort - Best Case,4350100,971892803
Mergesort - Average Case,4350100,847582906
Mergesort - Worst Case,4350100,787495321
Middle Pivot - Worst Case,4400100,199295642
Random Pivot - Worst Case,4400100,917153154
End Pivot - Worst Case,4400100,237297495
Mergesort - Best Case,4400100,973232484
Mergesort - Average Case,4400100,834703076
Mergesort - Worst Case,4400100,790702264
Middle Pivot - Worst Case,4450100,201595437
Random Pivot - Worst Case,4450100,919365040
End Pivot - Worst Case,4450100,242689403
Mergesort - Best Case,4450100,987416318
Mergesort - Average Case,4450100,836284986
Mergesort - Worst Case,4450100,797144655
Middle Pivot - Worst Case,4500100,205524174
Random Pivot - Worst Case,4500100,939392910
End Pivot - Worst Case,4500100,245374484
Mergesort - Best Case,4500100,982271391
Mergesort - Average Case,4500100,839072251
Mergesort - Worst Case,4500100,791696320
Middle Pivot - Worst Case,4550100,206910480
Random Pivot - Worst Case,4550100,943741985
End Pivot - Worst Case,4550100,237230927
Mergesort - Best Case,4550100,985852364
Mergesort - Average Case,4550100,843147977
Mergesort - Worst Case,4550100,801589497
Middle Pivot - Worst Case,4600100,210347896
Random Pivot - Worst Case,4600100,966096095
End Pivot - Worst Case,4600100,246777358
Mergesort - Best Case,4600100,1041703536
Mergesort - Average Case,4600100,872750461
Mergesort - Worst Case,4600100,822501080
Middle Pivot - Worst Case,4650100,220283829
Random Pivot - Worst Case,4650100,962416034
End Pivot - Worst Case,4650100,244203264
Mergesort - Best Case,4650100,998606562
Mergesort - Average Case,4650100,856548826
Mergesort - Worst Case,4650100,819679136
Middle Pivot - Worst Case,4700100,216524105
Random Pivot - Worst Case,4700100,1001085007
End Pivot - Worst Case,4700100,259009338
Mergesort - Best Case,4700100,1102979758
Mergesort - Average Case,4700100,1000943945
Mergesort - Worst Case,4700100,945924695
Middle Pivot - Worst Case,4750100,315093282
Random Pivot - Worst Case,4750100,1030189361
End Pivot - Worst Case,4750100,266512292
Mergesort - Best Case,4750100,1088855763
Mergesort - Average Case,4750100,941920470
Mergesort - Worst Case,4750100,922979864
Middle Pivot - Worst Case,4800100,232846893
Random Pivot - Worst Case,4800100,1012291217
End Pivot - Worst Case,4800100,261727617
Mergesort - Best Case,4800100,1044238276
Mergesort - Average Case,4800100,897071359
Mergesort - Worst Case,4800100,850382540
Middle Pivot - Worst Case,4850100,225592202
Random Pivot - Worst Case,4850100,995194439
End Pivot - Worst Case,4850100,263224166
Mergesort - Best Case,4850100,1032084552
Mergesort - Average Case,4850100,895902139
Mergesort - Worst Case,4850100,857935212
