Test,Size,Time
Random Pivot - Worst Case,106100,3480227
End Pivot - Worst Case,106100,3646010
Middle Pivot - Worst Case,107100,5107140
Random Pivot - Worst Case,107100,4132166
End Pivot - Worst Case,107100,4352949
Middle Pivot - Worst Case,108100,5168229
Random Pivot - Worst Case,108100,4339700
End Pivot - Worst Case,108100,4744448
Middle Pivot - Worst Case,109100,5092969
Random Pivot - Worst Case,109100,4268308
End Pivot - Worst Case,109100,5129484
Middle Pivot - Worst Case,110100,5302936
Random Pivot - Worst Case,110100,4377837
End Pivot - Worst Case,110100,4423880
Middle Pivot - Worst Case,111100,5163397
Random Pivot - Worst Case,111100,4515473
End Pivot - Worst Case,111100,4391822
Middle Pivot - Worst Case,112100,5208440
Random Pivot - Worst Case,112100,4402256
End Pivot - Worst Case,112100,4385382
Middle Pivot - Worst Case,113100,5150609
Random Pivot - Worst Case,113100,4376357
End Pivot - Worst Case,113100,4342369
Middle Pivot - Worst Case,114100,5208719
Random Pivot - Worst Case,114100,4367104
End Pivot - Worst Case,114100,4531538
Middle Pivot - Worst Case,115100,5262974
Random Pivot - Worst Case,115100,4334615
End Pivot - Worst Case,115100,4464489
Middle Pivot - Worst Case,116100,5275543
Random Pivot - Worst Case,116100,4577586
End Pivot - Worst Case,116100,4575392
Middle Pivot - Worst Case,117100,5293070
Random Pivot - Worst Case,117100,4387710
End Pivot - Worst Case,117100,4542064
Middle Pivot - Worst Case,118100,5344586
Random Pivot - Worst Case,118100,4444676
End Pivot - Worst Case,118100,4545462
Middle Pivot - Worst Case,119100,5416292
Random Pivot - Worst Case,119100,4656298
End Pivot - Worst Case,119100,4615316
Middle Pivot - Worst Case,120100,5614993
Random Pivot - Worst Case,120100,4789417
End Pivot - Worst Case,120100,4769234
Middle Pivot - Worst Case,121100,5740907
Random Pivot - Worst Case,121100,4713515
End Pivot - Worst Case,121100,4786831
Middle Pivot - Worst Case,122100,5500478
Random Pivot - Worst Case,122100,4783002
End Pivot - Worst Case,122100,4617898
Middle Pivot - Worst Case,123100,5556402
Random Pivot - Worst Case,123100,4611351
End Pivot - Worst Case,123100,4721679
Middle Pivot - Worst Case,124100,5716197
Random Pivot - Worst Case,124100,4812955
End Pivot - Worst Case,124100,4899322
Middle Pivot - Worst Case,125100,5590524
Random Pivot - Worst Case,125100,4617881
End Pivot - Worst Case,125100,4835251
Middle Pivot - Worst Case,126100,5657326
Random Pivot - Worst Case,126100,4671816
End Pivot - Worst Case,126100,4923842
Middle Pivot - Worst Case,127100,5644509
Random Pivot - Worst Case,127100,4833668
End Pivot - Worst Case,127100,4731077
Middle Pivot - Worst Case,128100,5681189
Random Pivot - Worst Case,128100,4726694
End Pivot - Worst Case,128100,5040836
Middle Pivot - Worst Case,129100,5775387
Random Pivot - Worst Case,129100,4823973
End Pivot - Worst Case,129100,4895564
Middle Pivot - Worst Case,130100,5756483
Random Pivot - Worst Case,130100,4888079
End Pivot - Worst Case,130100,5045717
Middle Pivot - Worst Case,131100,5956069
Random Pivot - Worst Case,131100,5009295
End Pivot - Worst Case,131100,4971698
Middle Pivot - Worst Case,132100,6028089
Random Pivot - Worst Case,132100,4860812
End Pivot - Worst Case,132100,4980153
Middle Pivot - Worst Case,133100,5916506
Random Pivot - Worst Case,133100,5190278
End Pivot - Worst Case,133100,5126430
Middle Pivot - Worst Case,134100,6191719
Random Pivot - Worst Case,134100,4985860
End Pivot - Worst Case,134100,5029109
Middle Pivot - Worst Case,135100,6294430
Random Pivot - Worst Case,135100,5234440
End Pivot - Worst Case,135100,5281971
Middle Pivot - Worst Case,136100,6168102
Random Pivot - Worst Case,136100,5049000
End Pivot - Worst Case,136100,5160055
Middle Pivot - Worst Case,137100,6115569
Random Pivot - Worst Case,137100,5171255
End Pivot - Worst Case,137100,5115036
Middle Pivot - Worst Case,138100,6386533
Random Pivot - Worst Case,138100,5263479
End Pivot - Worst Case,138100,5367658
Middle Pivot - Worst Case,139100,6782124
Random Pivot - Worst Case,139100,7524695
End Pivot - Worst Case,139100,5464724
Middle Pivot - Worst Case,140100,6579773
Random Pivot - Worst Case,140100,5446289
End Pivot - Worst Case,140100,5506147
Middle Pivot - Worst Case,141100,6489549
Random Pivot - Worst Case,141100,5315495
End Pivot - Worst Case,141100,5358953
Middle Pivot - Worst Case,142100,6381806
Random Pivot - Worst Case,142100,5499024
End Pivot - Worst Case,142100,5640244
Middle Pivot - Worst Case,143100,6756536
Random Pivot - Worst Case,143100,5565873
End Pivot - Worst Case,143100,5589195
Middle Pivot - Worst Case,144100,6679225
Random Pivot - Worst Case,144100,5603268
End Pivot - Worst Case,144100,5576380
Middle Pivot - Worst Case,145100,6530365
Random Pivot - Worst Case,145100,5648075
End Pivot - Worst Case,145100,5570404
Middle Pivot - Worst Case,146100,7027207
Random Pivot - Worst Case,146100,5850855
End Pivot - Worst Case,146100,5796333
Middle Pivot - Worst Case,147100,6880695
Random Pivot - Worst Case,147100,5624341
End Pivot - Worst Case,147100,5755502
Middle Pivot - Worst Case,148100,6828773
Random Pivot - Worst Case,148100,5715147
End Pivot - Worst Case,148100,5873054
Middle Pivot - Worst Case,149100,7058723
Random Pivot - Worst Case,149100,5740539
End Pivot - Worst Case,149100,5834907
Middle Pivot - Worst Case,150100,6921246
Random Pivot - Worst Case,150100,5861679
End Pivot - Worst Case,150100,6142509
Middle Pivot - Worst Case,151100,12141051
Random Pivot - Worst Case,151100,6482309
End Pivot - Worst Case,151100,6113369
Middle Pivot - Worst Case,152100,7394562
Random Pivot - Worst Case,152100,6156607
End Pivot - Worst Case,152100,6046552
Middle Pivot - Worst Case,153100,7053447
Random Pivot - Worst Case,153100,5990397
End Pivot - Worst Case,153100,5999464
Middle Pivot - Worst Case,154100,7158115
Random Pivot - Worst Case,154100,6098791
End Pivot - Worst Case,154100,6226152
Middle Pivot - Worst Case,155100,7410269
Random Pivot - Worst Case,155100,6163803
End Pivot - Worst Case,155100,6380870
Middle Pivot - Worst Case,156100,7491872
Random Pivot - Worst Case,156100,6153208
End Pivot - Worst Case,156100,6300490
Middle Pivot - Worst Case,157100,7379870
Random Pivot - Worst Case,157100,6225718
End Pivot - Worst Case,157100,6172900
Middle Pivot - Worst Case,158100,7409947
Random Pivot - Worst Case,158100,6222123
End Pivot - Worst Case,158100,6256036
Middle Pivot - Worst Case,159100,7610194
Random Pivot - Worst Case,159100,6259483
End Pivot - Worst Case,159100,6406782
Middle Pivot - Worst Case,160100,7532079
Random Pivot - Worst Case,160100,6302438
End Pivot - Worst Case,160100,6434754
Middle Pivot - Worst Case,161100,7661840
Random Pivot - Worst Case,161100,6575757
End Pivot - Worst Case,161100,6496658
Middle Pivot - Worst Case,162100,8247198
Random Pivot - Worst Case,162100,6714130
End Pivot - Worst Case,162100,7612384
Middle Pivot - Worst Case,163100,7946398
Random Pivot - Worst Case,163100,6610834
End Pivot - Worst Case,163100,6728313
Middle Pivot - Worst Case,164100,8066234
Random Pivot - Worst Case,164100,6598434
End Pivot - Worst Case,164100,6832446
Middle Pivot - Worst Case,165100,8180793
Random Pivot - Worst Case,165100,6712263
End Pivot - Worst Case,165100,7134276
Middle Pivot - Worst Case,166100,8106371
Random Pivot - Worst Case,166100,6814003
End Pivot - Worst Case,166100,6736660
Middle Pivot - Worst Case,167100,7959496
Random Pivot - Worst Case,167100,6765289
End Pivot - Worst Case,167100,6972744
Middle Pivot - Worst Case,168100,8102065
Random Pivot - Worst Case,168100,6806600
End Pivot - Worst Case,168100,6815261
Middle Pivot - Worst Case,169100,15256083
Random Pivot - Worst Case,169100,7612275
End Pivot - Worst Case,169100,7088645
Middle Pivot - Worst Case,170100,8357426
Random Pivot - Worst Case,170100,7447195
End Pivot - Worst Case,170100,7504841
Middle Pivot - Worst Case,171100,8406155
Random Pivot - Worst Case,171100,7094580
End Pivot - Worst Case,171100,7255000
Middle Pivot - Worst Case,172100,8470917
Random Pivot - Worst Case,172100,7086785
End Pivot - Worst Case,172100,7204934
Middle Pivot - Worst Case,173100,8335860
Random Pivot - Worst Case,173100,7050496
End Pivot - Worst Case,173100,7155340
Middle Pivot - Worst Case,174100,8896508
Random Pivot - Worst Case,174100,7229126
End Pivot - Worst Case,174100,7452883
Middle Pivot - Worst Case,175100,8451830
Random Pivot - Worst Case,175100,7244451
End Pivot - Worst Case,175100,7447921
Middle Pivot - Worst Case,176100,8845595
Random Pivot - Worst Case,176100,7380644
End Pivot - Worst Case,176100,7464005
Middle Pivot - Worst Case,177100,8614729
Random Pivot - Worst Case,177100,7342735
End Pivot - Worst Case,177100,8530076
Middle Pivot - Worst Case,178100,9165586
Random Pivot - Worst Case,178100,7973973
End Pivot - Worst Case,178100,7986012
Middle Pivot - Worst Case,179100,9237310
Random Pivot - Worst Case,179100,8008652
End Pivot - Worst Case,179100,8290680
Middle Pivot - Worst Case,180100,9346418
Random Pivot - Worst Case,180100,9173286
End Pivot - Worst Case,180100,8128351
Middle Pivot - Worst Case,181100,9603826
Random Pivot - Worst Case,181100,8176003
End Pivot - Worst Case,181100,8570091
Middle Pivot - Worst Case,182100,9841076
Random Pivot - Worst Case,182100,8097553
End Pivot - Worst Case,182100,8224474
Middle Pivot - Worst Case,183100,17591659
Random Pivot - Worst Case,183100,8146719
End Pivot - Worst Case,183100,8191374
Middle Pivot - Worst Case,184100,9438479
Random Pivot - Worst Case,184100,8190440
End Pivot - Worst Case,184100,8438642
Middle Pivot - Worst Case,185100,9709211
Random Pivot - Worst Case,185100,8358296
End Pivot - Worst Case,185100,8467491
Middle Pivot - Worst Case,186100,9760202
Random Pivot - Worst Case,186100,8375608
End Pivot - Worst Case,186100,8450932
Middle Pivot - Worst Case,187100,9798037
Random Pivot - Worst Case,187100,8501553
End Pivot - Worst Case,187100,8500299
Middle Pivot - Worst Case,188100,14305441
Random Pivot - Worst Case,188100,8731496
End Pivot - Worst Case,188100,9210641
Middle Pivot - Worst Case,189100,9961920
Random Pivot - Worst Case,189100,8625548
End Pivot - Worst Case,189100,8654355
Middle Pivot - Worst Case,190100,9898383
Random Pivot - Worst Case,190100,8622309
End Pivot - Worst Case,190100,8724943
Middle Pivot - Worst Case,191100,9949428
Random Pivot - Worst Case,191100,8602523
End Pivot - Worst Case,191100,8914261
Middle Pivot - Worst Case,192100,10048282
Random Pivot - Worst Case,192100,8581120
End Pivot - Worst Case,192100,8797806
Middle Pivot - Worst Case,193100,10041122
Random Pivot - Worst Case,193100,8789637
End Pivot - Worst Case,193100,8876842
Middle Pivot - Worst Case,194100,10075298
Random Pivot - Worst Case,194100,8872142
End Pivot - Worst Case,194100,9092205
Middle Pivot - Worst Case,195100,10103796
Random Pivot - Worst Case,195100,9204345
End Pivot - Worst Case,195100,9235316
Middle Pivot - Worst Case,196100,16532753
Random Pivot - Worst Case,196100,9532927
End Pivot - Worst Case,196100,9409465
Middle Pivot - Worst Case,197100,10545062
Random Pivot - Worst Case,197100,8957954
End Pivot - Worst Case,197100,9122007
Middle Pivot - Worst Case,198100,10514539
Random Pivot - Worst Case,198100,8988207
End Pivot - Worst Case,198100,8970339
Middle Pivot - Worst Case,199100,10563905
Random Pivot - Worst Case,199100,9036041
End Pivot - Worst Case,199100,9246762
Middle Pivot - Worst Case,200100,10462234
Random Pivot - Worst Case,200100,9272046
End Pivot - Worst Case,200100,9247579
Middle Pivot - Worst Case,201100,10754822
Random Pivot - Worst Case,201100,9103698
End Pivot - Worst Case,201100,9335360
Middle Pivot - Worst Case,202100,10577546
Random Pivot - Worst Case,202100,9285083
End Pivot - Worst Case,202100,9450361
Middle Pivot - Worst Case,203100,10635822
Random Pivot - Worst Case,203100,9385818
End Pivot - Worst Case,203100,9325587
Middle Pivot - Worst Case,204100,14076717
Random Pivot - Worst Case,204100,9578268
End Pivot - Worst Case,204100,9666171
Middle Pivot - Worst Case,205100,10734720
Random Pivot - Worst Case,205100,9246699
End Pivot - Worst Case,205100,9255955
Middle Pivot - Worst Case,206100,10944924
Random Pivot - Worst Case,206100,9218980
End Pivot - Worst Case,206100,9508839
Middle Pivot - Worst Case,207100,10886193
Random Pivot - Worst Case,207100,8940867
End Pivot - Worst Case,207100,9516490
Middle Pivot - Worst Case,208100,13587599
Random Pivot - Worst Case,208100,9414734
End Pivot - Worst Case,208100,9477738
Middle Pivot - Worst Case,209100,11345380
Random Pivot - Worst Case,209100,9080285
End Pivot - Worst Case,209100,8961742
Middle Pivot - Worst Case,210100,10298612
Random Pivot - Worst Case,210100,8922905
End Pivot - Worst Case,210100,8989515
Middle Pivot - Worst Case,211100,10304199
Random Pivot - Worst Case,211100,8954584
End Pivot - Worst Case,211100,10031338
Middle Pivot - Worst Case,212100,11322131
Random Pivot - Worst Case,212100,9364127
End Pivot - Worst Case,212100,9423565
Middle Pivot - Worst Case,213100,11003921
Random Pivot - Worst Case,213100,9479487
End Pivot - Worst Case,213100,9575313
Middle Pivot - Worst Case,214100,10907677
Random Pivot - Worst Case,214100,9414095
End Pivot - Worst Case,214100,9526202
Middle Pivot - Worst Case,215100,11367245
Random Pivot - Worst Case,215100,9576821
End Pivot - Worst Case,215100,9399800
Middle Pivot - Worst Case,216100,11502399
Random Pivot - Worst Case,216100,9393744
End Pivot - Worst Case,216100,9216882
Middle Pivot - Worst Case,217100,21980136
Random Pivot - Worst Case,217100,9255046
End Pivot - Worst Case,217100,9351607
Middle Pivot - Worst Case,218100,12079707
Random Pivot - Worst Case,218100,9699659
End Pivot - Worst Case,218100,9578665
Middle Pivot - Worst Case,219100,10821602
Random Pivot - Worst Case,219100,9059234
End Pivot - Worst Case,219100,9207595
Middle Pivot - Worst Case,220100,11025508
Random Pivot - Worst Case,220100,9676109
End Pivot - Worst Case,220100,9434890
Middle Pivot - Worst Case,221100,11002359
Random Pivot - Worst Case,221100,9321855
End Pivot - Worst Case,221100,9386132
Middle Pivot - Worst Case,222100,10959090
Random Pivot - Worst Case,222100,9218833
End Pivot - Worst Case,222100,9237842
Middle Pivot - Worst Case,223100,11198138
Random Pivot - Worst Case,223100,9457128
End Pivot - Worst Case,223100,9509803
Middle Pivot - Worst Case,224100,14775218
Random Pivot - Worst Case,224100,9698702
End Pivot - Worst Case,224100,9720059
Middle Pivot - Worst Case,225100,11429467
Random Pivot - Worst Case,225100,9522039
End Pivot - Worst Case,225100,9462253
Middle Pivot - Worst Case,226100,11278173
Random Pivot - Worst Case,226100,9554319
End Pivot - Worst Case,226100,9449955
Middle Pivot - Worst Case,227100,11035960
Random Pivot - Worst Case,227100,9881800
End Pivot - Worst Case,227100,9911137
Middle Pivot - Worst Case,228100,11146101
Random Pivot - Worst Case,228100,9427046
End Pivot - Worst Case,228100,9543630
Middle Pivot - Worst Case,229100,11137878
Random Pivot - Worst Case,229100,9361684
End Pivot - Worst Case,229100,9537184
Middle Pivot - Worst Case,230100,11537185
Random Pivot - Worst Case,230100,10170556
End Pivot - Worst Case,230100,9688214
Middle Pivot - Worst Case,231100,11311664
Random Pivot - Worst Case,231100,9507429
End Pivot - Worst Case,231100,9434183
Middle Pivot - Worst Case,232100,11799803
Random Pivot - Worst Case,232100,9690667
End Pivot - Worst Case,232100,9641939
Middle Pivot - Worst Case,233100,16103621
Random Pivot - Worst Case,233100,9651096
